Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Kara Braxton,TOT,C-F,35,593,18.3,0.546,0.014,0.286,10.6,15.7,14.9,2.7,3,22.6,29.3,-0.2,0.5,0.3,0.018
Svetlana Abrosimova,SEA,F,34,686,13,0.507,0.432,0.188,4.4,9.3,17.4,3.1,0.4,19.4,20.7,0.4,1.4,1.8,0.102
Matee Ajavon,WAS,G,34,497,11.4,0.444,0.257,0.393,4.3,6.9,17,4.1,0.3,18.8,25.3,-0.4,1.1,0.7,0.056
Alison Bales,ATL,C,34,529,14,0.547,0.124,0.557,6.5,13.4,7.4,2.2,5.5,16,11,0.8,1.3,2.1,0.155
Mistie Bass,CHI,F,34,642,12.9,0.553,0.016,0.372,10.5,12.7,9.7,1.6,1.9,20.6,13.7,0.7,0.7,1.4,0.088
Tully Bevilaqua,IND,G,34,659,9.4,0.506,0.642,0.2,3.4,6.8,13.3,3.8,0.5,23.5,11.8,0,1.4,1.4,0.087
Chante Black,TUL,C,34,712,13.8,0.519,0,0.329,13.2,18.1,5.1,1.2,6.3,20.1,12.6,0.3,0.4,0.7,0.041
Dominique Canty,CHI,G,34,884,12.4,0.504,0.045,0.561,4.8,6.1,23,2,0.7,20,19.9,0.6,0.7,1.3,0.057
Essence Carson,NYL,F-G,34,325,12.9,0.46,0.203,0.26,5.5,10.6,13.4,2.3,2.1,15.9,23.4,-0.2,0.5,0.3,0.039
Swin Cash,SEA,F,34,1046,14.5,0.544,0.232,0.378,7.8,11.9,11.5,1,1.4,18.5,22.9,1.7,1.6,3.3,0.128
Iziane Castro Marques,ATL,F-G,34,984,13.9,0.518,0.315,0.272,1.5,3.3,15.9,1.4,0.2,14.6,26.7,0.9,0.9,1.8,0.075
Tamika Catchings,IND,F,34,1068,27.2,0.607,0.245,0.432,6.6,14,25.8,3.8,2.4,15.4,25.7,4.8,3.1,7.9,0.296
Tina Charles,CON,C,34,1054,23.2,0.539,0.002,0.359,13.8,21.3,9,1.2,4.2,12.7,23.3,2.8,2.4,5.2,0.197
Marissa Coleman,WAS,G-F,34,663,13.8,0.536,0.54,0.217,5.1,10.9,13.1,2.3,1.5,16.9,17.1,1,1.4,2.5,0.149
Monique Currie,WAS,F,34,891,19.8,0.584,0.248,0.51,6.5,11.8,11.7,2.9,1.3,17.8,25.5,2.7,2.1,4.8,0.215
Erika de Souza,ATL,F-C,34,872,19.4,0.575,0,0.225,11.9,17.9,6,1.5,3.4,14.5,19.8,1.8,1.9,3.7,0.17
Scholanda Dorrell,TUL,G,34,836,12.3,0.484,0.211,0.36,3.8,5.6,12.5,3.1,1.2,17.1,25.4,-0.6,0,-0.6,-0.027
Katie Douglas,IND,G-F,34,1014,18.6,0.569,0.459,0.187,3.2,7.1,21.2,2.4,1.1,14,21.5,2.7,1.8,4.5,0.177
Candice Dupree,PHO,F,34,1014,23.1,0.7,0.003,0.224,8.7,14.1,7.4,1.7,2,14.5,18.7,4.4,0.3,4.8,0.188
Sylvia Fowles,CHI,C,34,1087,27.8,0.634,0.003,0.5,8.5,19.3,9.9,1.9,6.7,14.6,23.9,4.2,2.7,6.9,0.253
Kelsey Griffin,CON,F,34,679,9.6,0.468,0.35,0.387,7.1,13.3,8,1.7,2,21.1,13.1,-0.1,1.2,1.1,0.062
Lindsey Harding,WAS,G,34,1130,13.7,0.514,0.147,0.303,2,5.9,22,2.2,0.5,19,19.9,1.2,1.9,3.1,0.111
Roneeka Hodges,SAS,G,34,859,9.5,0.472,0.605,0.125,3.4,8,8.8,0.9,0.9,12.6,17.3,-0.1,0.2,0.1,0.005
Ebony Hoffman,IND,F,34,815,11.5,0.478,0.307,0.15,6.7,10.9,9.5,2.6,1.4,15.7,18.9,0.1,1.7,1.7,0.085
Charde Houston,MIN,F,34,758,17,0.503,0.342,0.193,4.6,10.6,12.6,2.9,2.3,14.6,26.4,0.3,1.2,1.5,0.079
Temeka Johnson,PHO,G,34,928,12.3,0.491,0.327,0.165,2.4,6.5,24.8,1.7,0.5,17.8,17.7,0.9,-0.2,0.7,0.029
Cathrine Kraayeveld,CHI,F,34,722,8.2,0.467,0.544,0.133,4.1,8,10,1.6,2.2,20.1,15.3,-0.5,0.7,0.2,0.011
Crystal Langhorne,WAS,F,34,1158,21.6,0.632,0.016,0.387,11.4,18.4,6.7,1.4,0.5,17,20.8,4,2.5,6.5,0.224
Kara Lawson,CON,G,34,854,12.5,0.535,0.518,0.154,1.1,5.7,22.6,0.8,0,15.4,16,1.4,0.7,2.1,0.097
Camille Little,SEA,F,34,838,18.4,0.563,0.09,0.445,10.8,12.9,10.1,3.5,2.2,16.4,19.7,2,2,4,0.193
