Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Renee Montgomery,TOT,G,36,643,12.6,0.479,0.475,0.166,1.3,5,27.6,2.4,0.5,18.1,21.6,0.1,0.7,0.8,0.051
Vicki Baugh,TUL,F-C,34,533,14.5,0.529,0.007,0.418,10.1,15.3,7,1.8,1.8,19.9,18.1,0.6,0.5,1.2,0.089
Kelsey Bone,CON,C,34,961,19.8,0.526,0.007,0.222,6.2,13.7,14.8,1.5,1.6,13.7,27.1,1.8,0.9,2.7,0.11
Rebekkah Brunson,MIN,F,34,945,16.5,0.51,0.017,0.281,10.9,17.2,10.8,2.1,2.4,17,15.4,1.5,2.2,3.7,0.155
Swin Cash,NYL,F,34,592,8.4,0.466,0.241,0.39,4.6,8.2,13.3,0.8,0.4,18.3,15.6,0.1,0.8,0.9,0.063
Tina Charles,NYL,C,34,1053,21,0.493,0.009,0.245,8.1,16.1,17.3,1.2,1.9,12.2,29.1,1.8,2.4,4.2,0.158
Natasha Cloud,WAS,G,34,657,9.7,0.414,0.297,0.367,1.9,8.6,28.8,2.4,0.3,24.8,14.3,-0.3,1.1,0.8,0.051
Marissa Coleman,IND,G-F,34,842,14.3,0.485,0.378,0.239,4.6,8.8,12,2.6,1,14.7,23.1,0.6,1.1,1.7,0.079
Sydney Colson,SAS,G,34,541,11.3,0.486,0.206,0.327,2.1,4.2,32,2.7,1.4,25.5,14.1,0.1,0.4,0.5,0.037
Monique Currie,PHO,F,34,724,14.3,0.514,0.304,0.233,3.3,9,13,2.3,1.3,13.9,21.6,0.8,1.2,1.9,0.106
Stefanie Dolson,WAS,C,34,841,17.3,0.552,0.07,0.207,7,13.6,12.7,1,3.2,16.2,22,1.4,1.5,3,0.141
Cayla George,PHO,C,34,433,15.8,0.51,0.382,0.14,7.5,14.7,11.1,1.6,3.9,13.9,21.6,0.5,0.9,1.4,0.127
Chelsea Gray,CON,G,34,543,17.8,0.523,0.325,0.241,4,9.1,31.4,2.2,0.7,20.8,24.2,0.9,0.4,1.3,0.093
