Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Monique Currie,TOT,F,36,784,17.2,0.552,0.32,0.353,3.1,10.3,18.3,1.6,1.2,13.3,23.5,1.5,0.9,2.4,0.124
Tamera Young,TOT,F,35,867,8.5,0.432,0.237,0.231,3.2,7.8,11.8,2.1,1.3,15.2,20.3,-1.4,0.7,-0.6,-0.03
Natalie Achonwa,IND,C,34,623,16.2,0.597,0,0.335,7.1,13,7.4,1.2,2.3,13.3,17.4,1.4,0.2,1.6,0.102
Kayla Alexander,SAS,C,34,522,16.6,0.607,0,0.133,10.4,12.5,6.3,1.5,2.7,15.5,17.8,1,0.5,1.5,0.115
Alana Beard,LAS,G-F,34,1048,11.6,0.551,0.098,0.238,2.7,6.9,10.4,3.5,1.4,17.4,11.4,0.9,2.4,3.3,0.127
Jessica Breland,CHI,F,34,834,15.4,0.517,0.072,0.161,7.9,15,10.1,1.1,5.2,16.5,19.9,0.2,1.1,1.2,0.059
Emma Cannon,PHO,F,34,440,10.3,0.526,0.018,0.553,11.9,16.8,3.9,0.6,0.9,17.9,17.8,0.2,0.5,0.7,0.065
Tina Charles,NYL,C,34,1095,21.9,0.508,0.116,0.258,7.2,16.5,16.2,1.3,1.8,10.8,29.9,2.3,2.4,4.7,0.172
Karima Christmas-Kelly,DAL,G-F,34,1011,13.2,0.536,0.338,0.563,6.3,8.3,12.2,2.1,0.5,14.6,16,2,0.1,2.1,0.084
Layshia Clarendon,ATL,G,34,1014,13,0.454,0.169,0.251,3.2,7.2,38.4,1.6,0.2,18.3,21.1,0.2,1,1.1,0.044
Marissa Coleman,IND,G-F,34,636,5.9,0.457,0.518,0.214,1.5,6.9,8.7,0.8,0.7,17.5,16.3,-0.8,-0.1,-1,-0.06
Kahleah Copper,CHI,F-G,34,485,11.9,0.542,0.182,0.283,2.8,7.9,4.4,1.1,0.3,11.7,21.7,0.3,0.2,0.5,0.042
Damiris Dantas,ATL,F,34,614,12.3,0.471,0.377,0.165,5.8,11.3,6.8,1.4,2.5,9.1,21.7,0.1,0.8,0.9,0.061
Skylar Diggins-Smith,DAL,G,34,1162,21.3,0.57,0.308,0.479,2.2,6,31.3,1.9,1.9,14.6,23.4,4.4,0.2,4.6,0.158
Sylvia Fowles,MIN,C,34,1048,30.8,0.691,0,0.456,14.8,20.6,8.7,2.2,5.2,15.1,23.3,5.7,3.4,9.2,0.35
Allisha Gray,DAL,G,34,924,16.4,0.488,0.297,0.335,6.5,8.5,8.9,2.8,1.7,8.5,22.5,1.5,0.5,2,0.086
Chelsea Gray,LAS,G,34,1125,19,0.618,0.303,0.27,2.5,6.4,21.6,1.7,0.6,13.8,19.3,3.9,1.8,5.7,0.202
Dearica Hamby,SAS,F,34,686,13.7,0.502,0.037,0.466,8.8,12.8,9,2.2,1.1,14.8,20.3,0.3,0.7,1,0.059
Isabelle Harrison,SAS,F,34,906,15.7,0.527,0.006,0.294,9.6,14.5,10.2,1.6,2.3,15.6,21.6,0.7,1,1.7,0.074
Bria Hartley,NYL,G,34,727,11.2,0.519,0.462,0.164,1.6,5.6,16.2,1.4,0.6,16.1,18.5,0.5,1,1.5,0.083
Natasha Howard,MIN,F,34,397,15.4,0.528,0.111,0.238,9.9,12.5,9.6,2.3,4.3,15.7,18.5,0.5,1.1,1.6,0.164
Jonquel Jones,CON,F,34,970,26.8,0.634,0.165,0.487,14.2,23.6,8.3,1.5,4,12.2,20.7,4.8,2.4,7.2,0.297
Crystal Langhorne,SEA,F,34,967,18.5,0.671,0.007,0.299,5.9,13.2,9.4,1,1,15.3,18,2.8,0.8,3.6,0.149
Erlana Larkins,IND,F,34,640,13.8,0.633,0,0.291,12,14.1,10,1.5,1.3,24.1,12.6,1.2,0.1,1.3,0.083
Ivory Latta,WAS,G,34,579,13.1,0.492,0.538,0.249,1.4,2.8,18,1.4,0.1,9.8,23.7,0.9,0.1,1,0.067
Camille Little,PHO,F,34,862,8.5,0.47,0.248,0.239,6.3,9.1,9.6,1.8,1.4,17.5,16.5,-0.5,1,0.5,0.022
Jewell Loyd,SEA,G,34,1059,19.1,0.547,0.29,0.317,4,6.3,20.1,2.1,0.9,13.4,28.1,2.1,0.6,2.8,0.104
Leilani Mitchell,PHO,G,34,726,16.2,0.55,0.481,0.438,2.2,6.7,28,2.2,1.1,17.6,18.8,1.4,0.9,2.3,0.124
Alex Montgomery,SAS,G-F,34,800,9.6,0.445,0.342,0.105,5.9,14.8,14.9,1.4,1,17,15.5,-0.3,0.9,0.5,0.027
Renee Montgomery,MIN,G,34,743,13.8,0.56,0.502,0.263,2.5,4.4,23,1.7,0.2,19.3,18,1.4,1.3,2.7,0.146
Maya Moore,MIN,F,34,1063,22.5,0.561,0.338,0.271,6.1,9.8,18.2,3.1,1.1,10.4,24.5,4.1,2.8,6.9,0.258
Nneka Ogwumike,LAS,F,34,1050,28.1,0.636,0.122,0.354,7.8,16,12.4,3.1,1.5,9.4,24.4,5.5,2.9,8.4,0.321
Jia Perkins,MIN,G,34,554,9.7,0.445,0.255,0.161,2.5,7.5,11.9,3.4,0.1,14.9,15.1,-0.1,1.4,1.3,0.097
Plenette Pierson,MIN,F,34,465,12.4,0.51,0.341,0.146,4.1,10,16.6,1.5,0.9,16.7,20,0.4,1,1.4,0.118
Theresa Plaisance,DAL,F,34,690,13,0.487,0.478,0.114,6.8,12.5,7.9,1.8,2.7,9.8,18.1,0.8,0.4,1.2,0.069
Tierra Ruffin-Pratt,WAS,G,34,827,11,0.417,0.016,0.43,7.2,12.4,15.8,2.1,1.6,14.4,18.8,-0.2,1,0.8,0.04
Kiah Stokes,NYL,C,34,666,14.6,0.596,0.009,0.478,13.3,18.3,7,0.9,4.8,22.6,11.7,1.2,1.5,2.7,0.162
Shekinna Stricklen,CON,F-G,34,926,12.3,0.592,0.749,0.16,2.1,6.6,5.7,2.2,0.3,10.5,12.8,1.7,1.3,3,0.131
Brittney Sykes,ATL,G,34,863,15.2,0.497,0.264,0.309,3.5,9.3,14.5,1.1,1.7,10.9,26.7,0.6,1,1.6,0.072
Stephanie Talbot,PHO,F-G,34,609,10.6,0.517,0.341,0.374,5.8,9.1,14.5,2,1.2,17.3,12.9,0.6,0.7,1.3,0.084
Krystal Thomas,WAS,C,34,888,15.9,0.565,0,0.378,14.2,21,6.2,1,3.3,18.6,13,1.6,1.4,3,0.133
Kayla Thornton,DAL,F,34,586,14.8,0.539,0.345,0.48,7.5,11.2,8.5,1.9,1.1,10.1,17.1,1.5,0.2,1.6,0.113
Kristi Toliver,WAS,G,34,989,13.8,0.553,0.664,0.177,1.3,3.9,20.5,1.2,0.6,14.5,19.4,1.9,0.3,2.2,0.088
Yvonne Turner,PHO,G,34,434,10.3,0.49,0.335,0.236,3.4,4.6,15.3,2.2,0.2,17.2,22.4,-0.3,0.4,0.1,0.007
Erica Wheeler,IND,G,34,898,14.5,0.486,0.387,0.123,1.5,5.3,29.2,2.7,0.1,15.9,25.3,-0.2,0.2,0,-0.002
Courtney Williams,CON,G,34,884,16,0.511,0.095,0.105,5.8,9.2,13.4,1,0.7,10.1,22,1.5,1,2.4,0.11
Elizabeth Williams,ATL,C-F,34,1069,16.3,0.513,0.003,0.267,10.8,13.1,7.5,1.7,5.1,11.8,15.8,1.4,1.7,3.2,0.119
Shavonte Zellous,NYL,G,34,991,14.1,0.547,0.165,0.564,3.8,7.8,15.8,1.5,0.7,15.2,19.1,2.1,1.5,3.6,0.145
Rebecca Allen,NYL,F,33,304,10.6,0.449,0.436,0.059,4.9,12.6,9.2,2,3.5,14.8,17.7,-0.2,0.7,0.5,0.07
Saniya Chong,DAL,G,33,364,9.9,0.496,0.487,0.372,2.7,4.8,14.8,3,0.6,21.6,13.4,0,0.1,0.2,0.017
Alysha Clark,SEA,F,33,934,12.2,0.606,0.332,0.252,4.7,9.2,9.1,1.3,0.3,12.8,12.9,1.8,0.5,2.3,0.099
Kaela Davis,DAL,G,33,511,7.9,0.491,0.2,0.371,2.1,5.3,11.2,1.6,0.5,19.7,20.9,-0.4,-0.1,-0.5,-0.037
