Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Danielle Adams,SAS,F-C,34,686,22,0.547,0.35,0.338,10.4,13.7,8.9,1.8,2.8,10.3,27.1,2.5,0.9,3.3,0.195
Kara Braxton,NYL,C-F,34,535,14.4,0.486,0.024,0.189,13.6,16.9,12.9,1.7,3.2,24.4,25.4,-0.7,0.7,0,-0.002
Essence Carson,NYL,F-G,34,927,14.4,0.47,0.266,0.137,3.7,7.5,11.6,2.1,2.2,12.3,23.1,0.4,0.8,1.2,0.053
Swin Cash,CHI,F,34,1021,11.7,0.465,0.332,0.286,6.7,12.1,13.7,1.8,1.5,19.6,21.2,-0.1,1.5,1.4,0.054
Tamika Catchings,IND,F,34,1036,27.3,0.552,0.285,0.35,7.1,15.1,21.3,3.6,2.4,9.9,26.3,5,2.8,7.8,0.301
Shameka Christon,SAS,G,34,695,14.4,0.519,0.681,0.276,2.9,5.7,9.9,1.4,1.9,7.1,18.3,1.7,0.4,2.1,0.119
Marissa Coleman,LAS,G-F,34,548,8.2,0.425,0.474,0.172,5.2,9,9.3,1.9,1.1,16.1,11.7,0.2,0.7,0.8,0.059
Monique Currie,WAS,F,34,820,17.2,0.52,0.251,0.514,4.2,9.4,14.7,2.3,0.7,13.1,25.2,1.7,0.4,2.1,0.104
Jessica Davenport,IND,C,34,514,17,0.533,0.017,0.453,8.1,13.5,8.3,2.4,4.3,19.2,23.8,0.4,1.2,1.6,0.124
Kalana Greene,CON,G,34,605,12.3,0.506,0.182,0.38,3.4,6.1,14.6,3.3,0.9,16,12.2,0.7,1,1.7,0.112
Lindsey Harding,ATL,G,34,1040,15.9,0.501,0.157,0.298,1.8,5.4,25.6,2.2,0.5,14.4,20.4,1.8,1.6,3.4,0.129
Tiffany Hayes,ATL,G,34,787,13.2,0.519,0.333,0.506,3.6,7.8,15.2,1.8,1.2,15.3,18.4,1.3,1.3,2.5,0.129
Aneika Henry-Morello,ATL,F-C,34,613,12.2,0.514,0,0.302,10.1,13.4,4,1.3,4,15.1,13.2,0.7,1.2,1.9,0.124
Allison Hightower,CON,G,34,827,9.5,0.424,0.297,0.137,2.9,5.6,16.2,2.7,0.5,14.8,16.9,-0.2,1.1,0.9,0.045
Alexis Hornbuckle,PHO,G,34,865,7.7,0.404,0.311,0.148,5.6,9,13.7,2.4,1.5,20.8,16.9,-1.2,0.1,-1.2,-0.054
Glory Johnson,TUL,F,34,958,18.9,0.55,0,0.706,10.9,14.7,7.3,3.9,1.8,16.6,19.8,2,0.9,2.9,0.122
Shenise Johnson,SAS,G,34,581,14.3,0.468,0.273,0.219,11.1,13.3,12.6,2.4,0.9,15.3,18.9,0.7,0.7,1.4,0.097
Erlana Larkins,IND,F,34,526,17.1,0.569,0,0.333,15.8,17,11.9,3.5,0.8,21.5,13.8,1.3,1.2,2.5,0.193
Ivory Latta,TUL,G,34,962,17.1,0.55,0.435,0.199,1.6,4.7,23.3,1.7,0.3,14.2,23.8,2.4,-0.4,2,0.081
Jantel Lavender,LAS,C,34,490,15.3,0.543,0,0.2,12.2,15.6,6,0.9,2.9,17.9,18.7,0.8,0.7,1.5,0.123
Kara Lawson,CON,G,34,1066,21.7,0.656,0.501,0.312,1.8,7.2,22.2,1.3,0.4,13.3,18.6,5.3,1.1,6.4,0.242
Camille Little,SEA,F,34,947,14.4,0.563,0.12,0.558,7.4,11.3,13.3,1.4,1.5,21.4,22,1,1.6,2.6,0.11
Sancho Lyttle,ATL,F,34,1074,16.6,0.465,0.228,0.137,5.1,14.2,14.7,3.9,1.7,14.7,24.3,-0.1,3.2,3,0.113
DeLisha Milton-Jones,LAS,F,34,926,13.4,0.516,0.302,0.268,6.2,9.2,10.1,1.9,2,16,18.3,1.4,1.1,2.5,0.109
Leilani Mitchell,NYL,G,34,908,11,0.555,0.668,0.062,2.8,5.5,18.2,2,0.5,21.1,12.4,1.2,0.5,1.7,0.074
Renee Montgomery,CON,G,34,816,14.6,0.503,0.387,0.414,1.1,4.5,18.4,2.2,0.3,16.2,25.3,0.9,0.9,1.8,0.09
Maya Moore,MIN,F,34,1011,25.1,0.592,0.439,0.231,8.8,11.9,20.3,2.6,1.8,11.6,23.2,5.6,1.8,7.4,0.292
Jeanette Pohlen-Mavunga,IND,G,34,574,10.8,0.563,0.594,0.078,2.7,6,11.4,1.9,1.5,19,13.1,0.6,0.7,1.3,0.093
Cappie Pondexter,NYL,G,34,1162,21.5,0.538,0.283,0.29,2,7.8,25.3,1.9,0.5,14.1,29,3.7,0.9,4.6,0.158
Nicole Powell,NYL,F,34,922,12,0.539,0.565,0.07,5.3,9.4,8.5,2.6,1.3,18.2,13.1,0.9,1,1.9,0.081
Armintie Herrington,ATL,G,34,904,14,0.544,0.009,0.557,8.2,8.1,15.5,2.2,0.9,18.3,15.5,1.5,1.3,2.9,0.127
Danielle Robinson,SAS,G,34,984,16.4,0.569,0.026,0.204,2.3,5.1,24.8,2.5,0.3,15.5,16,2.8,0.7,3.5,0.144
Katie Smith,SEA,G,34,919,8.9,0.563,0.588,0.198,1.2,6.2,14.3,1.2,0.4,20.1,13.3,0.7,1.2,1.9,0.081
Shekinna Stricklen,SEA,F-G,34,784,12.7,0.495,0.462,0.206,4.8,11.5,10,1.6,0.9,11.3,19,0.5,1.5,2,0.103
Ketia Swanier,ATL,G,34,389,7,0.407,0.366,0.317,1.5,6.9,25.8,2,0,30.5,15,-0.7,0.6,-0.1,-0.006
Jasmine Thomas,WAS,G,34,763,11.2,0.462,0.34,0.152,2.2,6.7,24.4,2,0.7,19.7,22.6,-0.6,0.2,-0.4,-0.021
Kristi Toliver,LAS,G,34,1071,21.1,0.636,0.377,0.379,3.5,5.8,26.2,2.1,0.2,21,23.8,4.6,1,5.6,0.209
Courtney Vandersloot,CHI,G,34,906,10.6,0.476,0.289,0.196,0.8,4.9,31,2.6,0.7,26,21.2,-0.5,1.2,0.6,0.029
Candice Wiggins,MIN,G,34,741,9.6,0.544,0.741,0.188,1.9,5.8,12.8,1.7,0.4,22.2,16.2,0.7,0.8,1.5,0.078
Lindsay Wisdom-Hylton,WAS,F,34,501,13.4,0.502,0.008,0.15,10,12.2,12.2,2.6,4.4,22.8,16.1,0,0.5,0.4,0.036
Monica Wright,MIN,G,34,660,15.2,0.548,0.196,0.427,3.4,7.3,15.5,2.7,0.8,19.6,22.1,1.1,1,2.1,0.13
Matee Ajavon,WAS,G,33,712,9.7,0.423,0.376,0.296,3.4,5.3,17.7,4,0.7,17.3,24.2,-0.9,0.5,-0.4,-0.023
Jayne Appel-Marinelli,SAS,C,33,625,14.1,0.593,0.012,0.341,11.6,20.2,9.3,1.5,3.9,28.5,9.9,0.9,1.2,2.1,0.136
Alana Beard,LAS,G-F,33,1017,13.6,0.535,0.277,0.264,1.2,4,16.7,3.3,1,19.1,18.4,1.3,1.3,2.6,0.104
Tina Charles,CON,C,33,1096,23.3,0.538,0.01,0.232,12.9,18.3,10.3,0.8,3.4,11.8,25.1,3.5,1.9,5.5,0.2
Becky Hammon,SAS,G,33,998,19.2,0.598,0.507,0.267,1.1,4.9,30,1.6,0.5,20.7,23.2,3,0.5,3.5,0.14
Ewelina Kobryn,SEA,C,33,438,10.7,0.5,0.199,0.368,4.9,10.9,6.7,2,2.7,20.6,21.8,-0.5,0.9,0.4,0.04
Cathrine Kraayeveld,ATL,F,33,507,12.5,0.544,0.654,0.113,3.9,10.7,9,1.4,2.6,15.7,14.2,0.5,0.9,1.4,0.113
Taj McWilliams-Franklin,MIN,F-C,33,879,15.7,0.546,0.021,0.17,7.9,11.8,14.5,2,4.4,20.7,15.9,1.4,1.7,3.1,0.14
Nneka Ogwumike,LAS,F,33,920,23.8,0.583,0.021,0.429,12.7,15.3,7.5,2.5,2.5,9.6,20.5,4.3,1.7,5.9,0.258
Candace Parker,LAS,F,33,1014,26.2,0.536,0.124,0.291,9.8,18,19.7,2.5,5.9,15.5,26.9,3.1,2.6,5.7,0.224
Jia Perkins,SAS,G,33,759,18.2,0.482,0.377,0.181,2.6,7.2,14.6,3.7,1.3,7.4,23.5,1.4,1.1,2.5,0.131
Ruth Riley,CHI,C,33,476,8.2,0.435,0.189,0.147,4.5,10.4,11.3,2.6,3.7,21.1,12.1,-0.2,0.9,0.8,0.064
Ashley Robinson,WAS,C,33,535,7.7,0.409,0.009,0.171,8.6,12.9,9.7,1.9,3.7,23.7,14.2,-0.8,0.4,-0.4,-0.03
Tammy Sutton-Brown,IND,C,33,541,13,0.487,0,0.345,6.2,10.4,7.5,2.4,4.2,14.1,13.2,0.5,1.1,1.6,0.118
DeMya Walker,NYL,F,33,525,4.3,0.423,0,0.26,8.8,10.2,9.6,1.7,2.5,35.2,15.3,-1.4,0.4,-1,-0.076
Lindsay Whalen,MIN,G,33,891,19.7,0.566,0.089,0.338,4.2,9,31.5,1.3,0.6,16.8,19.9,3.6,1,4.7,0.209
Le'coe Willingham,CHI,F,33,610,3.6,0.413,0.57,0.18,7,9.9,8.2,1.3,0.6,29.2,14.4,-1.2,0.6,-0.6,-0.038
Riquna Williams,TUL,G,33,671,17.3,0.458,0.347,0.27,4.1,7.2,20.4,3.9,1.2,11.1,28,0.5,0.3,0.9,0.053
Sophia Young-Malcolm,SAS,F,33,1049,23.7,0.562,0.007,0.393,7.6,13.4,12.1,3.7,1,10.3,23,3.9,1.9,5.8,0.222
Tamera Young,CHI,F,33,804,11.1,0.449,0.004,0.241,6.9,9.5,10.7,2.2,0.6,13.2,19.5,0.2,1.1,1.3,0.065
Mistie Bass,CON,F,32,598,19.2,0.574,0.005,0.428,11.3,13.9,9.7,2.1,1.7,15.3,19.3,1.8,1,2.8,0.184
DeWanna Bonner,PHO,G-F,32,1120,21,0.487,0.316,0.371,5.3,11.2,13.1,2.4,1.9,10,28.3,2.8,0.4,3.2,0.114
Katie Douglas,IND,G-F,32,990,20.5,0.543,0.425,0.216,4,7.4,14.5,2.6,0.9,9.8,25.1,3.3,1.5,4.8,0.194
Michelle Snow,WAS,C,32,643,13.5,0.556,0.006,0.232,11.2,16.9,5.7,1.6,3.4,23.7,16,0.3,0.6,0.8,0.052
Tanisha Wright,SEA,G,32,953,10,0.468,0.22,0.331,3.3,6.2,27,2.1,0.4,23.9,17.9,-0.1,1.4,1.3,0.053
Roneeka Hodges,TOT,G,32,617,13.8,0.525,0.624,0.128,2,6,13.3,1.6,1.4,13.8,19.3,0.7,0,0.7,0.044
Rebekkah Brunson,MIN,F,31,837,21.7,0.546,0,0.41,16.2,19.5,7,2.3,2.9,11,19,3.1,1.9,4.9,0.236
Kelsey Griffin,CON,F,31,375,9.7,0.417,0.152,0.343,8.9,14,6.2,2.5,2.1,19.2,16.5,-0.4,0.7,0.4,0.042
Briann January,IND,G,31,879,14,0.565,0.437,0.355,1.8,3.8,24.5,2.2,0.4,21.2,18.8,1.8,1,2.8,0.125
Crystal Langhorne,WAS,F,31,999,19.1,0.585,0.024,0.346,9.1,12.2,9.2,2.5,0.3,16.1,21.4,2.3,0.5,2.8,0.112
Natalie Novosel,WAS,G,31,306,11.9,0.435,0.406,0.287,7.6,8.4,14,2.5,0.8,14.3,19.9,0,0.1,0.1,0.011
Kia Vaughn,NYL,C,31,710,11.2,0.45,0,0.155,8.1,12.8,6.5,1.2,2.9,12.3,15.9,0.2,0.7,0.9,0.052
Tan White,CON,G,31,496,11.1,0.517,0.469,0.126,2.1,5.9,11.4,3.2,1,19.3,16.6,0.1,0.8,0.9,0.075
Shavonte Zellous,IND,G,31,692,11.6,0.475,0.257,0.346,4.6,7.3,13.8,1.8,1.8,14.9,19.2,0.5,0.9,1.5,0.085
Ziomara Morrison,SAS,C,30,166,9.9,0.519,0.192,0.212,9.2,12.8,2,0.9,1.5,18.6,19.1,0,0.1,0.2,0.045
Devereaux Peters,MIN,F,30,424,17.1,0.601,0,0.468,13.1,15.7,11.9,1.7,4.5,22.9,17.6,1,0.8,1.9,0.179
Sonja Petrovic,CHI,F,30,453,9.4,0.446,0.404,0.172,3.6,9.4,12,1.8,2.9,19.4,20,-0.4,0.7,0.3,0.025
Noelle Quinn,WAS,G,30,666,12.5,0.501,0.423,0.143,3.3,8.3,15.1,1.8,0.7,13,15.4,0.8,0.2,0.9,0.057
Nakia Sanford,PHO,C-F,30,501,7.4,0.475,0.142,0.354,9.4,10.8,6.2,1.5,1.4,22.5,14.2,-0.2,-0.1,-0.3,-0.023
Carolyn Swords,CHI,C,30,334,17.6,0.591,0,0.242,16.9,18.1,4.5,1.7,3.7,15.9,16.1,0.9,0.6,1.5,0.181
April Sykes,LAS,G-F,30,259,11.1,0.491,0.552,0.172,3.7,7.5,11.3,1.8,1.2,14.6,18.3,0.3,0.3,0.5,0.081
Karima Christmas-Kelly,TOT,G-F,30,335,13.9,0.439,0.409,0.398,9.5,11.4,8.1,4.2,2.1,11.4,16.6,0.3,0.5,0.8,0.095
Seimone Augustus,MIN,G,29,826,21.6,0.576,0.263,0.156,2.4,7.5,15.4,1.7,0.6,10.7,24.9,3.3,1,4.3,0.209
Sue Bird,SEA,G,29,898,17.6,0.572,0.476,0.159,0.9,5.7,35.3,1.6,0.3,17.3,20.1,2.3,1.2,3.5,0.156
Chante Black,TUL,C,29,366,12.4,0.547,0,0.457,7.8,12.8,4.7,2.1,4.3,22.2,13.1,0.2,0.2,0.4,0.044
Temeka Johnson,TUL,G,29,833,15.6,0.518,0.208,0.244,2.4,6.8,30.9,2.1,0.1,18.8,22.4,1.2,-0.1,1.1,0.053
Shay Murphy,CHI,G,29,538,18.3,0.551,0.493,0.179,7,9.8,9.5,3.1,1,11.8,21.2,1.5,0.9,2.4,0.178
Erin Phillips,IND,G,29,620,12.3,0.515,0.403,0.182,4.6,7.8,17.6,1.9,0.4,16.9,15.3,1,0.8,1.8,0.113
Krystal Thomas,PHO,C,29,771,9.8,0.497,0.006,0.42,12.9,16.6,6.1,0.3,2.6,26.2,13.8,-0.2,-0.1,-0.3,-0.016
Tina Thompson,SEA,F,29,551,16.4,0.575,0.466,0.204,5.9,11.1,5.4,1.4,3.4,14.2,22.8,0.8,1.1,1.9,0.137
Tully Bevilaqua,SAS,G,28,157,1.5,0.233,0.667,0.167,0.7,2.6,9.5,2.3,0.5,41.1,6.3,-0.3,0.1,-0.2,-0.061
Shannon Bobbitt,WAS,G,28,418,7.4,0.407,0.455,0.205,3.2,5,29.9,1.8,0.4,26.7,14.4,-0.4,0,-0.4,-0.039
Danielle McCray,CON,F,28,389,11.1,0.475,0.484,0.331,4.1,8.4,13.4,2.2,0,16.5,19.2,0.2,0.5,0.8,0.079
Samantha Prahalis,PHO,G,28,886,11.3,0.444,0.319,0.203,1.6,5.5,26.6,2.5,0.3,18.9,21.4,-0.3,-0.2,-0.5,-0.02
Avery Warley-Talbert,PHO,C,28,497,8.7,0.506,0,0.486,14.2,17.5,1.7,1.2,2.2,27.4,9.9,0.1,0.1,0.2,0.012
Amber Harris,MIN,F,27,240,14.4,0.476,0.202,0.247,5.2,12.3,9.6,1.9,4.5,13.2,20.8,0.2,0.5,0.7,0.121
Charde Houston,PHO,F,27,694,14.3,0.493,0.362,0.152,4.5,7.3,12.9,2.5,1.1,13.6,23.2,0.7,-0.1,0.6,0.037
Kayla Pedersen,TUL,F,27,626,6.4,0.345,0.081,0.264,6.3,11.5,11,2.1,1.8,17.1,14.1,-1,0.2,-0.8,-0.052
Courtney Paris,TOT,C,27,254,17.9,0.519,0,0.375,15.7,20.3,8.4,1.8,4.1,15.2,17.2,0.4,0.2,0.7,0.102
Scholanda Dorrell,TUL,G,26,385,7.1,0.436,0.442,0.265,3.7,5.1,5.8,3.3,0.7,16.5,17.4,-0.4,0,-0.4,-0.042
Sasha Goodlett,IND,C,26,197,16.9,0.483,0,0.27,10.9,12.6,6,2.2,3,9.8,21.4,0.3,0.4,0.7,0.134
