Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Matee Ajavon,WAS,G,34,1065,14.6,0.494,0.301,0.315,3.3,4.7,20.7,2.9,0.7,17.2,26.1,1,0.2,1.2,0.047
Nicky Anosike,WAS,F-C,34,924,13.4,0.444,0.005,0.56,10.6,16.5,9.1,2.9,2.4,18,16.1,0.2,1.1,1.2,0.054
Seimone Augustus,MIN,G,34,997,21.7,0.562,0.131,0.162,2.3,7.2,13.5,1.6,1.3,8.4,24,3.9,1.4,5.4,0.215
Alison Bales,ATL,C,34,687,15,0.538,0.118,0.222,5.8,13.3,8.9,1.1,5.9,9.2,10.6,1.4,1.2,2.6,0.151
Tully Bevilaqua,SAS,G,34,494,10.8,0.55,0.512,0.22,2.3,5.7,17.6,2.5,0.3,21.8,10.7,0.5,0.7,1.2,0.094
Sue Bird,SEA,G,34,1123,19.7,0.569,0.407,0.176,1.7,5.7,29.8,2.3,0.4,15.4,22.3,3.6,1.7,5.3,0.189
DeWanna Bonner,PHO,G-F,34,857,19.7,0.566,0.366,0.355,8.8,16.2,5,2,3.2,9.5,18.1,2.8,1,3.8,0.178
Rebekkah Brunson,MIN,F,34,938,18.6,0.549,0,0.414,12.3,19.3,6.6,1.6,1.7,13.9,17.5,2.5,2,4.5,0.192
Swin Cash,SEA,F,34,1128,14.8,0.513,0.323,0.357,6.3,13.5,13.8,1.6,1.5,17.6,22.8,1.1,2.2,3.3,0.118
Iziane Castro Marques,ATL,F-G,34,672,7.9,0.423,0.291,0.258,2.5,4.9,13.2,1,0.5,15,22.3,-0.8,0.4,-0.4,-0.025
Tina Charles,CON,C,34,1136,22.3,0.498,0.006,0.247,12.4,18.6,11,1.2,4.1,11.1,26.5,2.4,2.6,4.9,0.173
Marissa Coleman,WAS,G-F,34,918,11.6,0.496,0.518,0.133,5.9,11.1,9.8,1.4,1.2,15.5,17.2,0.7,0.2,1,0.043
Jessica Davenport,IND,C,34,717,21,0.568,0.011,0.38,8.9,14.1,4.9,2,5.2,14.7,24.4,1.6,1.4,3,0.167
Candice Dupree,PHO,F,34,1075,19.7,0.601,0.017,0.319,9.8,15.1,9.6,0.9,1.8,14,19.3,3.8,0.5,4.3,0.161
Marie Ferdinand-Harris,PHO,G,34,593,7.3,0.415,0.208,0.15,2.9,5,10.5,1.6,0.9,13.4,23.4,-0.8,0,-0.8,-0.054
Sylvia Fowles,CHI,C,34,1175,26.4,0.637,0,0.452,10.7,17.9,4,1.8,4.5,15.3,24.3,4.7,2.7,7.4,0.252
Kelsey Griffin,CON,F,34,441,14.5,0.45,0.209,0.452,11.4,13.3,6.4,2.9,1.8,8.6,15.2,0.7,0.9,1.6,0.144
Lindsey Harding,ATL,G,34,1037,13.4,0.512,0.106,0.29,1.9,6,23.9,1.6,0.4,18.8,17.3,1.2,0.9,2.1,0.081
Ebony Hoffman,LAS,F,34,752,13.4,0.529,0.252,0.203,7.3,11.5,8.5,2.6,1,17.4,18.2,0.7,0.5,1.2,0.061
Tiffany Jackson-Jones,TUL,F,34,1152,15.8,0.529,0.003,0.471,10.5,15.7,12,1.8,1.5,19.2,19.6,1.3,0.3,1.6,0.057
Asjha Jones,CON,F,34,971,15.3,0.472,0.022,0.17,7.4,12.6,12.5,1.1,1.3,11.8,24.8,0.6,1.5,2.2,0.09
Jennifer Lacy,TUL,F,34,653,9.3,0.49,0.392,0.147,5.4,8.7,10.5,1.6,2.1,19,18.7,-0.3,0,-0.3,-0.021
Danielle McCray,CON,F,34,513,13.4,0.528,0.503,0.202,3.1,8.5,13.8,1.6,0.6,15.3,19.2,0.6,0.8,1.4,0.109
Taj McWilliams-Franklin,MIN,F-C,34,966,14.5,0.488,0.034,0.234,9.2,12.7,12.5,1.9,2.2,15.5,15.8,1.5,1.8,3.3,0.135
Kelly Miller,WAS,G,34,943,10,0.519,0.493,0.169,2.7,5.2,18.4,1.3,0.7,20.2,14.6,0.9,-0.2,0.7,0.029
DeLisha Milton-Jones,LAS,F,34,891,15.6,0.541,0.213,0.231,7.7,10.8,14.1,1.9,1.1,18.4,23.6,1.1,0.3,1.4,0.062
Leilani Mitchell,NYL,G,34,864,10.3,0.502,0.641,0.054,2.3,5.2,17.8,2.7,0.3,18.6,12.1,0.9,1.1,2,0.094
Renee Montgomery,CON,G,34,991,19.6,0.548,0.413,0.395,1.4,4.2,29.4,2.6,0.2,16.5,24.2,2.7,1.4,4.1,0.165
Maya Moore,MIN,F,34,951,20.5,0.549,0.42,0.214,7.2,9.9,15.3,2.7,1.5,10.9,21.6,3.5,1.8,5.3,0.224
Ticha Penicheiro,LAS,G,34,807,14.3,0.598,0.243,0.358,1.1,7.1,32.6,1.9,0.3,29.3,14.1,1.5,0.1,1.6,0.081
Jia Perkins,SAS,G,34,852,17.5,0.511,0.348,0.193,3,8.2,10.5,2.7,0.9,8.1,23.5,1.1,1.5,2.6,0.123
Jeanette Pohlen-Mavunga,IND,G,34,539,11.3,0.635,0.608,0.147,2.4,5.4,10.3,1.3,0.6,16.2,11.2,1.1,0.4,1.5,0.112
Cappie Pondexter,NYL,G,34,1151,18.7,0.503,0.318,0.254,2.3,7.5,25.5,2,0.8,13.7,26.7,2.7,1.5,4.2,0.146
Armintie Herrington,ATL,G,34,797,17.1,0.554,0.01,0.577,7.2,7.2,18.5,3.2,0.2,15.8,16.2,1.9,1,2.9,0.148
Epiphanny Prince,CHI,G,34,1001,17.2,0.482,0.31,0.259,2.9,4.3,19.4,4.1,1,10.6,24.4,1.6,1.7,3.3,0.132
Ruth Riley,SAS,C,34,645,12.7,0.532,0.084,0.156,4.8,11.9,11.2,1,3.7,14,14.9,0.7,1.1,1.8,0.114
Ashley Robinson,SEA,C,34,583,10.1,0.49,0.008,0.18,9.7,14.7,7.4,2.1,4.7,25,14.5,-0.4,1.4,1.1,0.073
Danielle Robinson,SAS,G,34,786,15.6,0.551,0.005,0.437,3.5,5.9,28.8,1.8,0.4,19.1,18.4,1.8,0.9,2.7,0.137
Katie Smith,SEA,G,34,853,11.2,0.535,0.556,0.157,2.7,6,14.4,1.5,0.5,15.9,16,1.1,1.1,2.2,0.104
Michelle Snow,CHI,C,34,821,11.3,0.5,0.011,0.278,6,15.8,13.2,1,4.2,25.7,15,-0.3,1.7,1.3,0.065
Tammy Sutton-Brown,IND,C,34,645,15.4,0.554,0.022,0.504,8.1,10.2,5.1,3,5.3,16.3,14.7,1,1.2,2.3,0.141
Jasmine Thomas,WAS,G,34,655,9,0.424,0.32,0.149,2.3,6.9,19.2,2.1,1.1,17.6,21.6,-0.7,0.2,-0.5,-0.033
Tina Thompson,LAS,F,34,851,13.8,0.497,0.408,0.212,7.4,11.2,7.9,2.5,2.2,16.7,22.4,0.2,0.5,0.7,0.034
Erin Thorn,CHI,G,34,571,11.5,0.531,0.497,0.117,2,6.2,25.4,1,0.4,25.6,18.3,0.1,0.5,0.6,0.042
Courtney Vandersloot,CHI,G,34,777,8,0.467,0.274,0.219,0.8,5.2,28.2,1.6,1.3,28.1,19.1,-1,0.9,-0.1,-0.007
Kia Vaughn,NYL,C,34,955,16.4,0.527,0,0.187,12,14.7,7.1,2.2,2.3,15.8,18.2,1.6,1.7,3.3,0.138
Lindsay Whalen,MIN,G,34,956,23.2,0.575,0.12,0.349,3.8,7.5,34.6,2,0.5,15.7,22.4,4.3,1.4,5.7,0.239
Tan White,CON,G,34,747,10.7,0.47,0.427,0.26,2.6,7.3,13.8,2.8,0.6,16.4,15.2,0.2,1.3,1.5,0.082
Candice Wiggins,MIN,G,34,582,12.1,0.536,0.705,0.136,1.2,6.5,12.8,1.6,1.1,13.9,16.6,1,0.8,1.8,0.127
Le'coe Willingham,SEA,F,34,649,14.2,0.528,0.217,0.288,11.2,14.3,10.9,1.5,0.9,17.8,18.7,0.8,1.1,1.9,0.119
Liz Cambage,TUL,C,33,659,20.8,0.586,0.019,0.538,9.9,15,6.2,2.2,3.6,19.6,27.9,1.2,0.4,1.6,0.098
Tamika Catchings,IND,F,33,1040,24.6,0.561,0.24,0.422,7.7,13.9,21.1,3.4,2.4,13.8,23.7,4.1,2.3,6.5,0.248
