Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Danielle Adams,SAS,F-C,34,700,17.4,0.507,0.383,0.238,7,12.4,8.8,1.7,2.7,10.5,27.3,1.1,0.5,1.6,0.093
Jayne Appel-Marinelli,SAS,C,34,843,13.6,0.561,0.008,0.331,9.2,19.8,13.7,1,2.8,24,10.8,1.2,0.9,2.1,0.101
Mistie Bass,PHO,F,34,493,13.9,0.548,0,0.421,10.7,13.2,5.6,1.7,1.9,15.1,15.2,0.9,0.9,1.8,0.15
Alex Bentley,CON,G,34,872,16.1,0.491,0.239,0.122,0.9,4,27.9,2.6,0.3,13.8,24.6,1.4,0.8,2.2,0.102
Kelsey Bone,CON,C,34,793,13.2,0.477,0.01,0.214,8.1,13.7,10.7,1.5,1.6,16.8,22,0.1,1,1.1,0.058
DeWanna Bonner,PHO,G-F,34,994,16.5,0.55,0.306,0.324,4.5,8.3,12.5,2.6,1.1,12.8,17.5,2.1,1.8,3.9,0.159
Tina Charles,NYL,C,34,1119,22.4,0.509,0,0.307,9.3,16.8,14,2.1,2.1,11.7,27,2.2,2.3,4.4,0.159
Karima Christmas-Kelly,IND,G-F,34,736,13.2,0.487,0.348,0.468,7.8,10.4,7,2.2,1,9.4,16.8,1.4,0.8,2.2,0.119
Alysha Clark,SEA,F,34,561,9.6,0.525,0.456,0.184,6.1,8.6,6.5,1.6,1.4,15.1,14,0.4,0.4,0.7,0.052
Marissa Coleman,IND,G-F,34,815,13.3,0.511,0.417,0.221,4.2,8.7,8.6,1.8,1.1,11.9,19.2,1.3,0.8,2,0.1
Anna Cruz,NYL,G,34,922,12.8,0.517,0.208,0.165,1.8,7.5,23.3,2.5,0.8,22.1,16.2,0.2,1.4,1.6,0.07
Monique Currie,WAS,F,34,804,15.6,0.519,0.317,0.534,4.5,11.6,11.8,2.4,0.5,13.2,21.6,1.5,1.6,3.1,0.155
Skylar Diggins-Smith,TUL,G,34,1192,21.3,0.53,0.212,0.404,2.3,4.3,26.8,2.2,1.3,13.1,27.3,4.4,-0.2,4.2,0.14
Stefanie Dolson,WAS,C,34,627,12.6,0.528,0.017,0.209,6.1,14.1,12.5,1,4.4,23.1,18.6,0,1.3,1.3,0.083
Candice Dupree,PHO,F,34,1062,21.1,0.571,0,0.218,5,14.4,13.3,1.4,1.2,10,21.3,3.3,2.2,5.5,0.209
Jamierra Faulkner,CHI,G,34,694,11.6,0.449,0.185,0.279,1.9,5.7,30.1,2.5,0.6,21.4,24.8,-0.8,0.6,-0.2,-0.014
Sasha Goodlett,CHI,C,34,440,10.2,0.505,0,0.371,7.2,10.2,4.1,1.3,2.9,15.7,13.9,0.3,0.4,0.7,0.061
Brittney Griner,PHO,C,34,1045,25.5,0.617,0,0.306,7.7,15.4,9.6,1.1,9,13.1,22.3,3.9,2.9,6.8,0.259
Sandrine Gruda,LAS,F-C,34,409,8.6,0.435,0,0.3,11.9,15.4,7.4,1.7,1,23.4,21.5,-0.8,0.5,-0.3,-0.029
Bria Hartley,WAS,G,34,921,10.2,0.482,0.331,0.269,2.5,4.6,20.7,1.4,0.2,19.9,21.5,-0.1,0.9,0.7,0.032
Tianna Hawkins,WAS,F,34,360,15.4,0.534,0.143,0.269,16.8,17,9.1,2.1,1.4,19.9,21.5,0.5,0.7,1.2,0.129
Tiffany Hayes,ATL,G,34,966,17.8,0.589,0.365,0.476,3.6,6,14.9,1.8,0.7,9.7,18.3,3.8,1.2,4.9,0.204
Aneika Henry-Morello,ATL,F-C,34,435,14.9,0.606,0,0.336,12.2,15.1,3.5,0.8,4.1,20.2,15.6,0.7,0.7,1.5,0.135
Roneeka Hodges,TUL,G,34,720,8.2,0.455,0.605,0.157,2.9,4.9,10.2,1.2,0.5,9.2,13.3,0.8,-0.4,0.4,0.021
Jordan Hooper,TUL,F,34,646,9.1,0.489,0.729,0.109,4,7.4,4.7,1,0.8,12.2,15.6,0.5,-0.3,0.3,0.017
Natasha Howard,IND,F,34,576,13.3,0.471,0.005,0.312,11,11.4,7.5,2.4,3.3,17.1,24.4,-0.2,0.8,0.6,0.041
Temeka Johnson,SEA,G,34,578,13.6,0.453,0.248,0.188,1.8,8.3,36.3,2.3,0.3,19.5,23.2,-0.2,0.5,0.3,0.024
Jennifer Lacy,TUL,F,34,357,6,0.477,0.532,0.279,5.6,8.3,5,0.9,0.9,18.3,18.7,-0.1,-0.1,-0.3,-0.029
Crystal Langhorne,SEA,F,34,983,18.7,0.598,0.01,0.362,7.7,17,7.4,1.2,1,15.7,21.8,2.1,1.1,3.2,0.128
Ivory Latta,WAS,G,34,1079,14.5,0.554,0.607,0.254,1.9,4.5,19,1.2,0.1,14.4,19.8,2.5,0.9,3.5,0.129
Jantel Lavender,LAS,C,34,963,17.1,0.56,0.015,0.206,8.3,13.6,9.3,0.9,2.2,15.5,20.2,1.7,1.1,2.8,0.117
Sancho Lyttle,ATL,F,34,1064,18.7,0.487,0.028,0.205,8.9,16.3,13.4,3.5,1.5,10.3,19.1,1.9,2.8,4.7,0.175
Kayla McBride,SAS,G,34,884,17.4,0.527,0.38,0.24,2.9,5.5,12.2,2,0.4,9.1,24.3,2,0.2,2.2,0.099
Janel McCarville,MIN,F-C,34,920,14.5,0.514,0.103,0.278,5.3,10.6,17.3,2.3,2.5,18.1,16,1,1.4,2.5,0.107
Emma Meesseman,WAS,C,34,931,20.2,0.56,0.007,0.196,10.6,13.9,17.8,2.8,2.7,16.7,18.3,2.4,2.1,4.5,0.192
Alex Montgomery,NYL,G-F,34,745,8.8,0.503,0.38,0.094,5.5,10.5,7.8,1.7,0.6,18,13.4,0.1,1,1.1,0.061
Maya Moore,MIN,F,34,1181,29.4,0.586,0.302,0.295,7.8,13.9,18.6,2.8,1.9,10.4,30.1,6.2,2.2,8.3,0.283
Courtney Paris,TUL,C,34,940,20.3,0.573,0,0.293,16.2,21.8,6.8,1.6,2.9,11.6,14.4,3.2,0.7,3.9,0.166
Cappie Pondexter,NYL,G,34,1052,14.1,0.473,0.2,0.323,2.5,6.4,23.7,1.7,0.3,15.8,24.6,0.1,1.1,1.3,0.048
Armintie Herrington,LAS,G,34,789,10.5,0.484,0.008,0.285,6.3,7.3,12.5,3.4,0.6,19.3,9.9,0.5,1,1.5,0.076
Allie Quigley,CHI,G,34,842,14.4,0.544,0.327,0.179,2,5.1,14.4,1.4,0.6,15.1,22.3,1.1,0.4,1.5,0.069
Sugar Rodgers,NYL,G,34,564,11.4,0.452,0.407,0.24,2.9,7.3,14.1,2.2,1.4,12.8,21.1,-0.1,0.8,0.7,0.049
Tierra Ruffin-Pratt,WAS,G,34,550,10.8,0.444,0.13,0.286,5.8,10.7,13.7,2.4,0.5,14.3,17.1,0.1,1,1.1,0.079
Shoni Schimmel,ATL,G,34,725,12.2,0.488,0.558,0.09,2.8,6,28.5,1.8,0.3,22.3,22,0,0.9,0.8,0.047
Odyssey Sims,TUL,G,34,1169,17.8,0.51,0.275,0.289,2.7,4.8,21.9,2,0.6,11.3,23.6,3.4,-0.3,3.1,0.107
Alyssa Thomas,CON,F,34,927,14.6,0.502,0.021,0.395,7.7,11.2,9.5,2,0.5,14.5,18.8,1.4,1,2.4,0.102
Jasmine Thomas,ATL,G,34,594,6.7,0.395,0.249,0.222,3.4,6.7,14.4,1.4,0.7,15.5,17.7,-0.6,0.7,0.1,0.006
Lindsay Whalen,MIN,G,34,1040,20.4,0.541,0.027,0.405,2.6,8.1,29.9,1.5,0.2,12.3,22.3,3.6,0.9,4.5,0.174
Tan White,MIN,G,34,604,9.1,0.491,0.413,0.144,2.3,6.1,9.4,2.6,0.7,15.4,15.3,0.1,0.7,0.8,0.051
Sophia Young-Malcolm,SAS,F,34,823,16.2,0.502,0.016,0.298,8.8,11.8,11,2.4,0.6,8.6,17.2,1.8,0.5,2.3,0.111
Tamera Young,CHI,F,34,937,9.2,0.456,0,0.239,4.8,10.6,7.3,1.3,0.4,9.8,13.5,0.4,0.8,1.2,0.049
Shavonte Zellous,IND,G,34,931,13.4,0.508,0.257,0.348,2.9,6.4,14.8,1.4,1.4,13,21,1.6,0.7,2.2,0.095
Kayla Alexander,SAS,C,33,298,10.6,0.513,0,0.408,10.6,13.7,3.3,0.7,2.6,19.7,17.5,0.2,0.1,0.3,0.036
Vicki Baugh,TUL,F-C,33,266,16.5,0.624,0,0.393,15.1,21.1,3.1,2.2,2,19.6,13.5,0.7,0.2,0.9,0.143
Alana Beard,LAS,G-F,33,913,11.2,0.506,0.109,0.183,2.5,5.8,14.8,2.1,1.3,17.5,16.9,0.3,0.9,1.2,0.054
Sue Bird,SEA,G,33,963,12.6,0.484,0.338,0.195,0.8,5,26.7,1.5,0.1,17.1,22.4,0.1,0.3,0.4,0.018
Courtney Clements,CHI,G,33,376,8.3,0.422,0.232,0.121,4.5,8.4,9.6,1.7,0.4,11.1,14.2,0,0.3,0.2,0.025
Erika de Souza,ATL,F-C,33,986,21,0.574,0,0.29,11.1,16.5,7.2,1.9,3.7,12.8,19.8,2.9,2.2,5,0.204
Glory Johnson,TUL,F,33,1070,18,0.521,0.008,0.475,9.9,16.8,7.6,2.2,0.9,15.7,22.6,2,0.6,2.6,0.099
Erlana Larkins,IND,F,33,1044,20.3,0.637,0,0.493,11.5,18.4,14.9,3.3,2.1,22.7,14.4,2.9,2.2,5.1,0.196
