Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Victoria Macaulay,CHI,C,5,22,14.5,0.51,0,0.4,5.4,10.2,0,4.5,3.3,0,11.6,0,0,0.1,0.169
Shao Ting,MIN,F,5,27,-1.6,0.265,0,0.3,9.2,13.7,10.9,0,3.2,15,22.1,-0.1,0,-0.1,-0.134
Tayler Hill,DAL,G,4,49,9.9,0.428,0.462,0.385,4.6,6.1,10.8,1.1,0,0,14.3,0.1,0,0.1,0.064
Haley Peters,ATL,F,4,26,-10.8,0.127,0,0.286,4,4.1,6,2,3.1,33.7,20.2,-0.3,0,-0.2,-0.384
Kayla Alexander,CHI,C,3,20,20.9,0.781,0,1,11.9,19.6,7.9,0,0,14.8,14.7,0.1,0,0.1,0.264
Kenisha Bell,MIN,G,3,11,-5.9,0,1,0,0,5.6,12,0,0,50,8.2,-0.1,0,0,-0.162
Anriel Howard,SEA,,3,20,4,0.5,0.4,0,11.7,9.2,0,2.6,0,28.6,16,0,0,0,-0.028
Epiphanny Prince,LVA,G,3,28,20,0.65,0.7,0,4,3.9,18.9,1.8,2.9,0,15.3,0.1,0,0.2,0.258
Ashley Walker,LAS,F-C,3,22,-6.1,0.091,0.455,0,10.4,7.8,19.2,2.3,0,0,22.3,-0.2,0,-0.1,-0.264
Avery Warley-Talbert,NYL,C,3,35,-4.1,0.255,0,0.4,9.7,11.4,0,0,4.7,40.5,12.3,-0.2,0,-0.2,-0.191
Angel McCoughtry,ATL,F-G,1,0,,,,,,,,,,,,0,0,0,
Jaime Nared,LVA,G-F,1,1,-19.9,,,,0,0,0,0,0,,0,0,0,0,0.017
