Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Danielle Adams,SAS,F-C,34,899,19,0.525,0.323,0.376,6.4,10.5,9.6,1.7,2.2,11.6,26.6,2,0.5,2.5,0.109
Matee Ajavon,WAS,G,34,772,12.2,0.483,0.238,0.456,3.7,4.4,23,2.2,0.3,19.3,22.4,0.5,0.6,1.1,0.055
Alex Bentley,ATL,G,34,753,12.6,0.467,0.299,0.134,1.6,3.6,21.8,2.3,0.3,11.5,19.5,0.9,0.9,1.7,0.092
Kelsey Bone,NYL,C,34,663,12.7,0.487,0.005,0.265,12.5,15.6,7.3,1,1.4,17.8,19.7,0.2,0.7,0.9,0.056
DeWanna Bonner,PHO,G-F,34,1119,18.4,0.55,0.426,0.336,4,10.3,12.6,1.8,0.7,11.1,20.4,3.3,0.7,4,0.144
Kara Braxton,NYL,C-F,34,740,15,0.504,0,0.207,13.1,17,11,1.6,1.5,20.7,22.5,0.1,1,1.1,0.062
Swin Cash,CHI,F,34,961,13.2,0.5,0.222,0.264,5.2,11.3,13.2,1.7,1.5,16.8,17.7,1.1,1.6,2.7,0.112
Karima Christmas-Kelly,IND,G-F,34,913,14.9,0.481,0.369,0.273,8,9.5,7.8,3.8,1,12.2,17.8,1.3,1.5,2.9,0.125
Marissa Coleman,LAS,G-F,34,595,11.7,0.525,0.37,0.244,6.8,10,8.3,2.1,0.6,17.2,13.7,0.7,0.9,1.6,0.105
Monique Currie,WAS,F,34,881,14,0.506,0.212,0.374,4.4,11,10.7,2.3,0.7,15,20.9,1.1,1.4,2.4,0.111
Erika de Souza,ATL,F-C,34,1016,22.8,0.577,0,0.275,9.8,18.7,7.8,2.2,4.5,12.7,18.5,3.1,2.8,5.8,0.23
Briana Gilbreath-Butler,PHO,G,34,763,8.8,0.455,0.336,0.158,4.3,8.3,10.2,1.5,1.5,13.3,11.2,0.4,0.3,0.7,0.039
Kalana Greene,CON,G,34,888,9.8,0.458,0.151,0.238,4.7,8,9.3,2.2,1.1,15.9,11.3,0.3,0.8,1.1,0.048
