Player,Tm,Pos,NUM GAMES,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_40,YEAR
Jia Perkins,CHI,G,34,931,21.1,0.519,0.206,0.325,3.7,7.6,21,4.1,0.5,11.3,24.1,2.6,0.9,3.5,0.152,2009
Erin Perperoglou,SAS,F,34,579,5.8,0.415,0.229,0.354,4.8,8,8.6,2.2,1.5,24,11.8,-0.6,0.4,-0.2,-0.014,2009
Cappie Pondexter,PHO,G,34,1075,22.2,0.559,0.234,0.294,3.6,7.5,26.6,1.4,0.8,12.9,26,4.5,0,4.5,0.168,2009
Nicole Powell,SAC,F,34,1035,21.3,0.547,0.445,0.202,6.2,12.1,14.9,2.5,0.7,13.9,25.7,3.4,1,4.4,0.171,2009
Noelle Quinn,LAS,G,34,929,16,0.546,0.316,0.152,4.5,7.9,21.9,2.3,1,16.4,15.1,2.1,1.4,3.5,0.15,2009
Nakia Sanford,WAS,C-F,34,663,9.9,0.51,0,0.622,9.7,13.2,5.9,2,1.7,25.9,18.4,-0.4,1.1,0.6,0.038,2009
Tangela Smith,PHO,C,34,920,14.7,0.535,0.306,0.076,4.6,11.1,4.4,1.8,4.3,10.5,16,1.3,0.8,2.1,0.093,2009
Michelle Snow,ATL,C,34,503,14.6,0.546,0.014,0.479,9,16.5,5.2,1.5,2.6,18.7,17.2,0.7,0.9,1.6,0.13,2009
Tina Thompson,LAS,F,34,1182,13,0.503,0.357,0.248,4.9,10.1,11.5,1.2,1.7,17.7,20.2,0.9,1.7,2.6,0.088,2009
Erin Thorn,CHI,G,34,577,15.3,0.572,0.541,0.194,2.8,5.6,16.5,1.8,0,14.4,17.1,1.4,0,1.4,0.099,2009
Kia Vaughn,NYL,C,34,396,11.9,0.5,0.014,0.23,10.7,13.4,4.3,0.8,0.6,16.4,22.9,-0.1,0.4,0.4,0.038,2009
DeMya Walker,SAC,F,34,821,11.8,0.516,0.004,0.292,8.2,12,14.5,1.7,1.7,24.6,20.1,0,0.6,0.6,0.029,2009
Lindsay Whalen,CON,G,34,1000,19.6,0.544,0.253,0.393,4.3,8.9,28.3,2.2,0.4,14.1,19.9,3.2,1.4,4.6,0.183,2009
Candice Wiggins,MIN,G,34,1017,14.6,0.523,0.364,0.417,3.5,6,15.5,2.1,0.5,16,22.1,1.8,0,1.8,0.072,2009
Le'coe Willingham,PHO,F,34,713,18.1,0.587,0.031,0.31,10.8,11.2,7.8,1.5,0.9,13.7,19.8,2.4,0.1,2.5,0.142,2009
Shavonte Zellous,DET,G,34,802,16.2,0.539,0.165,0.609,3.8,7.9,13.9,1.8,1.9,17,25.1,1.8,1,2.7,0.135,2009
Crystal Kelly,TOT,F,34,367,11.1,0.576,0.013,0.949,8.8,9,5.4,1.6,0.7,22.8,17.5,0.6,0.1,0.8,0.083,2009
Chante Black,CON,C,33,428,10.1,0.437,0.011,0.467,10.3,14.2,2.3,1.6,5,18.4,14.1,-0.2,0.8,0.6,0.056,2009
Shannon Bobbitt,LAS,G,33,353,6.7,0.391,0.435,0.153,3.9,5.6,20.7,2.3,0.2,23.6,15.1,-0.4,0.4,0.1,0.007,2009
Kerri Gardin,CON,F,33,596,13.8,0.454,0.245,0.56,9.7,13.6,11,2.2,3.2,16.1,17.6,0.2,1.1,1.3,0.087,2009
Laura Harper,SAC,F-C,33,460,13,0.493,0,0.707,14.7,15.4,7.3,1.5,4.1,21.6,18.6,0.3,0.4,0.7,0.064,2009
Roneeka Hodges,MIN,G,33,902,14.7,0.565,0.62,0.12,2.6,6.7,12.6,1.2,1.3,11,16,2.3,-0.1,2.2,0.097,2009
Briann January,IND,G,33,683,11.7,0.493,0.453,0.453,3.9,5.6,20.5,2.8,0.4,19.8,19,0.5,1.1,1.6,0.093,2009
