Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Alex Bentley,TOT,G,35,745,12.4,0.468,0.384,0.142,1.5,3.9,24.8,2.7,0.3,13.9,23.7,0,1.1,1.1,0.059
Natalie Achonwa,IND,C,34,883,18.7,0.58,0,0.365,10.6,15.4,9.4,1.7,2.2,11.2,17.5,2.3,0.9,3.2,0.145
DeWanna Bonner,PHO,G-F,34,1120,20.5,0.566,0.383,0.293,5.3,13.1,17.2,2,1,9.6,23.6,3.2,1.5,4.7,0.169
Jessica Breland,ATL,F,34,899,14.5,0.454,0,0.152,7.1,16.6,12.4,2.2,5.7,15.6,17.7,-0.6,2.7,2.1,0.094
Essence Carson,LAS,F-G,34,786,11.9,0.535,0.466,0.069,1.5,6.9,6.3,2,1.3,8.1,15.7,0.5,1.3,1.8,0.091
Diamond DeShields,CHI,G,34,967,15.7,0.54,0.312,0.358,4.7,10.1,12.9,1.9,0.8,13.4,24.1,1.1,0.3,1.4,0.059
Sylvia Fowles,MIN,C,34,1087,26.5,0.658,0,0.441,13.5,22.4,12.6,2.3,3.3,18.4,23.4,3.7,2.9,6.6,0.243
Allisha Gray,DAL,G,34,907,13.4,0.538,0.448,0.383,5.2,7.4,13.9,2.4,0.7,14,15.9,1.6,0.7,2.3,0.103
Chelsea Gray,LAS,G,34,1111,18.6,0.572,0.243,0.243,1.8,6.3,27.2,2.3,0.5,15.3,22.3,2.2,1.8,4,0.143
Brittney Griner,PHO,C,34,1108,23.9,0.602,0.008,0.419,7.2,14.1,12.5,0.8,6,12.1,27.3,3.5,1.7,5.2,0.187
Bria Hartley,NYL,G,34,806,11.1,0.49,0.442,0.245,3.5,7.2,24.9,1.9,0.2,18.8,20.3,-0.2,0.5,0.2,0.012
Natasha Howard,SEA,F,34,869,22.3,0.615,0.163,0.325,11.1,14.6,6.4,2.6,6,14.9,22.4,2.3,2.3,4.6,0.21
Jonquel Jones,CON,F,34,697,24.3,0.656,0.395,0.292,11.6,15.7,13,1.1,5,15.2,22.3,2.9,1.3,4.2,0.243
Jewell Loyd,SEA,G,34,1010,19,0.55,0.421,0.265,5,8.9,20.2,2.2,0.4,11.9,24.4,2.5,1.6,4.2,0.164
Erica McCall,IND,F,34,418,10.3,0.418,0.073,0.174,12.2,12.9,5.1,1.5,3.2,9.3,14.1,0,0.3,0.3,0.03
Kelsey Mitchell,IND,G,34,829,11.7,0.477,0.51,0.237,1.2,4.2,20.6,1.4,0.4,12.7,28.4,-0.6,0.2,-0.5,-0.022
Tiffany Mitchell,IND,G,34,871,11.2,0.465,0.206,0.313,3.1,7,15.3,1.8,0.8,12.9,19.8,-0.3,0.4,0.1,0.006
Renee Montgomery,ATL,G,34,935,13.9,0.576,0.764,0.244,0.5,3.4,21.1,2.4,0.2,15.1,16.6,1.6,1.5,3.1,0.132
Maya Moore,MIN,F,34,1081,19.7,0.528,0.343,0.228,5.2,9.7,14.7,2.7,1,9.4,26.8,2,2.1,4.1,0.15
Kia Nurse,NYL,G,34,774,12.7,0.535,0.492,0.301,3.5,6.2,11.7,1.5,0.6,9.4,18.7,1.2,0.3,1.5,0.076
Courtney Paris,SEA,C,34,360,12.8,0.541,0.017,0.283,13,21.4,8.6,1.1,1.9,17.2,10.2,0.6,0.8,1.4,0.157
Cheyenne Parker,CHI,F,34,670,19.1,0.587,0.079,0.448,10.9,17.1,6,1.4,4.1,14.3,22.4,1.3,0.6,1.9,0.112
Odyssey Sims,LAS,G,34,867,9.3,0.462,0.205,0.295,1.9,5.9,17.3,1.2,0.1,14.7,19.5,-0.6,1,0.4,0.02
Azura Stevens,DAL,F,34,700,16.9,0.526,0.341,0.256,9.9,12.9,10.4,2.2,4.4,15.1,20.7,0.9,1,1.8,0.104
Breanna Stewart,SEA,F,34,1074,28.9,0.633,0.288,0.337,4.3,15.3,14.7,2.2,3.6,9.4,27.3,5,2.7,7.7,0.288
Shekinna Stricklen,CON,F-G,34,639,11.7,0.605,0.754,0.078,1.6,7,3.5,1.6,0.5,9.3,13.8,1.2,0.8,2,0.125
Jasmine Thomas,CON,G,34,956,14.9,0.498,0.368,0.206,3.1,6.7,25.3,2,0.7,16.2,23.6,1.1,1.3,2.3,0.097
Kayla Thornton,DAL,F,34,971,12.6,0.567,0.475,0.196,5.3,8.2,9.9,1.8,1,11.8,13.9,1.9,0.7,2.6,0.106
Morgan Tuck,CON,F,34,462,14.3,0.561,0.373,0.136,5.7,9.8,5.8,1.5,0.7,11.8,19,0.8,0.6,1.4,0.12
Victoria Vivians,IND,G,34,920,11.3,0.554,0.627,0.112,2,6.7,7.5,1.8,0.5,10.8,15.1,0.8,0.5,1.3,0.057
Erica Wheeler,IND,G,34,737,12.8,0.432,0.27,0.209,2.9,7.9,33.2,2,0.7,13.5,22,-0.3,0.5,0.1,0.008
